""	"Accius"	"Ennius"	"Livius"	"Naevius"	"Pacuvius"
"sollemniter"	0	0	1	0	0
"solitas"	1	0	0	0	0
"soleo"	0	0	0	0	1
"sol"	2	2	0	1	6
"socordia"	1	0	0	0	0
"socius1"	2	0	0	0	2
"siue2"	0	0	0	0	1
"sisto"	1	0	0	0	0
"sireus"	0	0	0	0	1
"sinus"	0	0	0	0	1
"sino"	2	0	0	0	1
"sine"	2	0	0	1	2
"sincere"	0	1	0	0	0
"sin"	0	1	0	0	0
"simul1"	4	0	0	0	1
"similitudo"	0	0	0	0	1
"siluicola"	1	0	0	0	0
"siluestrus"	1	0	0	0	0
"siluanus"	1	0	0	0	0
"silua"	1	0	0	0	0
"silesco"	0	0	0	0	1
"sileo"	1	0	0	0	0
"signum"	0	1	0	0	1
"signitenens"	0	1	0	0	0
"sicut1"	1	0	0	0	0
"sic"	1	2	0	0	0
"sibilus1"	0	0	0	0	1
"si2"	14	2	0	1	13
"si"	0	1	0	0	0
"sexus"	0	0	0	0	1
"seruo"	1	2	0	0	1
"seruio"	0	0	0	0	1
"sermo"	1	0	0	0	1
"serilis"	0	0	0	0	1
"sequor"	1	0	0	0	0
"sepulcrum"	1	1	0	0	0
"septem"	1	0	0	0	0
"sepelio"	0	0	0	0	2
"seorsum1"	1	0	0	0	0
"sentio"	3	1	0	0	2
"sententia"	0	0	0	0	1
"senium"	3	0	0	0	1
"senex2"	0	0	0	0	1
"senex1"	1	2	0	0	0
"seneo"	1	0	0	0	2
"senectus1"	0	1	0	0	2
"sempiter"	0	0	0	0	1
"semper"	2	1	0	0	1
"semita"	0	1	0	0	0
"semesus"	0	0	0	0	1
"semel"	0	1	0	0	0
"segrego"	1	0	0	0	1
"segnitas"	1	0	0	0	0
"seges"	2	0	0	0	0
"sedo"	0	0	0	0	1
"seditio"	0	1	0	0	0
"sedes"	2	0	1	0	0
"sedeo"	1	0	0	0	0
"sed"	12	7	0	1	7
"secus2"	1	0	0	0	0
"securis"	0	1	0	0	0
"sector2"	1	0	0	0	0
"scrutor"	0	1	0	0	0
"scruposus"	0	0	0	0	1
"scrupeus"	1	1	0	0	1
"scribo"	0	1	0	0	1
"scium"	0	0	0	0	1
"scisco"	1	0	0	0	1
"scio"	2	1	0	2	1
"scelus"	2	2	0	0	0
"scelestus"	0	1	0	0	0
"scatebra"	1	0	0	0	0
"scando"	0	0	0	0	1
"scabro"	0	1	0	0	0
"scabre"	0	0	0	0	1
"saxum"	9	3	0	0	4
"saxeus"	2	0	0	0	1
"saucius"	1	1	1	0	0
"satus1"	1	0	0	0	0
"sator"	0	0	0	0	1
"satis2"	5	0	0	0	2
"satis1"	1	0	0	0	0
"satis"	1	0	0	0	0
"satias"	1	0	0	0	1
"sapsus"	0	0	0	0	1
"sapio"	1	2	0	0	1
"sapientia"	0	1	0	0	1
"sapiens1"	0	1	0	0	1
"sanies"	0	1	0	0	1
"sanguis"	5	7	0	0	1
"sanctus"	2	0	0	0	0
"sanctitudo"	2	0	0	0	0
"sanctesco"	1	0	0	0	0
"salus"	1	0	0	0	0
"salueo"	0	2	0	0	2
"saltus2"	1	0	0	1	0
"saltus1"	0	1	0	0	0
"salsus"	4	1	0	0	0
"sagitta"	1	0	0	0	0
"saeuus"	3	2	0	0	3
"saeuiter"	1	2	0	0	0
"saeta"	1	0	0	0	0
"saeptuose"	0	0	0	0	1
"saepio"	0	1	0	0	0
"saepe"	4	1	0	0	2
"sacrum"	1	0	0	0	0
"ruspo"	1	0	0	0	0
"rursus"	0	1	0	0	1
"rupes"	1	0	0	0	0
"ruo"	1	0	0	0	0
"rumino"	0	0	1	0	0
"rudens"	0	0	0	0	1
"rubicundus"	0	0	0	0	1
"rostrum"	1	0	0	0	0
"rogo"	0	0	0	0	1
"robur"	0	0	0	0	1
"rimor"	0	0	0	0	1
"rietas"	0	0	0	0	1
"rex"	4	1	0	1	2
"reuoco"	1	0	0	0	0
"reuiso"	1	0	0	0	0
"reuertor"	1	0	0	0	0
"retro1"	0	0	0	0	1
"retineo"	0	0	0	0	1
"reticeo"	1	0	0	0	0
"reticentia"	0	0	0	0	1
"retardo"	1	0	0	0	0
"restum"	0	0	0	0	1
"restito"	0	1	0	0	0
"restibilio"	0	0	0	0	1
"responsum"	0	0	0	0	1
"respondeo"	0	0	0	0	2
"respergo"	1	0	0	0	0
"respecto"	0	1	0	0	0
"resono1"	1	0	0	0	2
"reses"	0	0	0	0	1
"res"	8	5	0	0	5
"rereor"	1	0	0	0	0
"requiesco"	0	1	0	0	0
"repugno"	0	0	0	0	1
"repudium"	0	0	0	0	2
"repudio"	0	1	0	0	0
"reprimo"	3	0	0	0	0
"repotialis"	0	0	0	0	1
"reporto"	0	0	0	0	1
"reperio"	1	0	0	0	0
"repente"	1	0	0	0	0
"reor"	1	0	0	0	1
"remus"	1	0	0	0	0
"remitto"	0	1	0	0	0
"reminiscor"	1	0	0	0	0
"remaneo"	1	0	0	0	0
"reliquiae"	0	0	0	0	1
"religio"	2	0	0	0	0
"reicio"	1	0	0	0	0
"regredior"	0	1	0	0	1
"rego"	0	0	0	0	1
"regnum"	4	0	0	0	6
"regius"	2	0	1	0	0
"regina"	2	0	0	0	1
"regimen"	0	1	0	0	0
"regificio"	0	1	0	0	0
"regia"	1	0	0	0	0
"regalis"	0	0	0	1	0
"refuto"	0	0	0	0	1
"refugio"	0	1	0	0	0
"reflo"	1	0	0	0	0
"refero"	4	0	0	0	0
"refello"	1	0	0	0	0
"reditus"	0	0	0	0	1
"redhostio"	1	0	0	0	0
"reddo"	1	2	0	0	0
"redamotruo"	0	0	0	0	1
"recuproco"	0	0	0	0	1
"rectus"	0	0	0	0	1
"recte"	1	1	0	0	0
"recordor"	1	0	0	0	1
"reciprocus"	1	0	0	0	0
"reciproco"	0	1	0	0	0
"recipio"	0	1	0	0	2
"recepto"	0	0	0	0	1
"reapsus"	0	0	0	0	1
"raudus"	1	0	0	0	0
"ratus"	1	0	0	0	0
"ratis"	0	0	0	0	1
"ratio"	3	0	0	0	0
"rarus"	1	0	0	0	0
"rarenter"	0	1	0	0	0
"rapto"	0	1	0	0	0
"rapidus"	1	0	0	0	0
"rapide"	0	0	0	0	1
"rado"	1	0	0	0	0
"radix"	1	0	0	0	0
"radio"	1	0	0	0	0
"quot2"	1	0	0	0	0
"quorsum"	0	0	0	0	2
"quoque"	0	0	0	0	1
"quondam"	0	0	0	1	0
"quonam"	0	0	0	0	1
"quod2"	2	1	0	0	2
"quod1"	2	0	0	0	0
"quo5"	1	1	0	0	0
"quo3"	1	2	0	0	1
"quiuis"	1	0	0	0	2
"quisquis1"	0	0	0	0	1
"quisque2"	1	0	0	1	0
"quisquam"	9	1	0	0	3
"quisnam"	1	1	0	0	2
"quis2"	5	2	0	1	3
"quis1"	23	16	0	1	23
